Country,Year,LifeLadder,Log_GDP_per_capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality
Norway,2017,7.578744888,11.07906151,0.950127661,73.09999847,0.953016818,0.218105063,0.249711379,0.849099994,0.202913806,0.717159748,1.422639132,2.013393879
Pakistan,2017,5.830870628,8.524110794,0.690263569,58.09999847,0.712657094,0.030064493,0.713928223,0.586166978,0.308341086,0.557435155,-1.546954513,-0.670003951
Palestinian Territories,2017,4.62813282,,0.824345112,,0.631611288,,0.830646336,0.596765578,0.416072041,0.414400935,-1.337592363,-0.205540687
Panama,2017,6.567658901,10.01086235,0.911904812,69.5,0.899573505,-0.160123616,0.840777099,0.832688808,0.242319331,0.390996099,0.455257624,-0.026318185
Paraguay,2017,5.71329546,9.085571289,0.902042508,65.5,0.891171455,0.018430408,0.809900761,0.902772129,0.231783673,0.381784081,0.037547644,-0.604874909
Peru,2017,5.710936546,9.412195206,0.830123365,67.80000305,0.826552153,-0.163864419,0.895384133,0.789390862,0.393873721,0.254595339,0.008478746,-0.176697567
Philippines,2017,5.594270229,8.935796738,0.851028562,61.79999924,0.925703108,-0.146240324,0.711165547,0.768981457,0.340621501,0.83773005,-0.577247143,-0.233417705
Poland,2017,6.201268196,10.21157646,0.881854117,68.90000153,0.830842614,-0.127978221,,0.677435517,0.203387797,0.502480447,0.651249409,0.678492665
Portugal,2017,5.711499214,10.23770332,0.899984837,72.19999695,0.905065656,-0.177407518,0.880970538,0.649151087,0.294272572,0.501088142,1.14347434,1.061786056
Qatar,2017,Undefined,,,,,,,,,,,
Romania,2017,6.089904785,10.05677509,0.811240137,66.90000153,0.838586688,-0.161854967,0.925658047,0.733730376,0.230836198,0.298341334,0.287310094,0.167793587
Russia,2017,5.578742981,10.11722469,0.896151304,63.90000153,0.73087424,-0.154709876,0.861590207,0.710230231,0.194560528,0.556597233,-0.882655859,-0.559599102
Rwanda,2017,3.10837388,7.525214672,0.516550004,60.5,0.908114851,0.050674845,0.213757217,0.762161076,0.358309627,0.981398344,-0.54128325,0.292252868
Saudi Arabia,2017,6.294282436,10.80050182,0.840086281,66,0.814142168,-0.14906089,,0.7748757,0.305841893,,-1.148168445,0.177424327
Senegal,2017,4.683024883,7.812208176,0.743759334,59.20000076,0.686937034,-0.031085404,0.825241864,0.745732069,0.290836066,0.61072278,0.135668606,-0.17547138
Republic of Serbia,2017,5.122031212,9.550297737,0.883770406,67.80000305,0.684846342,-0.077337377,0.851457834,0.50972122,0.326407075,0.511197984,0.109036274,-0.091615312
Sierra Leone,2017,4.089562416,7.237275124,0.652287126,49.20000076,0.710613549,0.086719848,0.848398328,0.600368202,0.495040029,0.73751694,-0.091980204,-0.875413895
Singapore,2017,6.378437996,11.35668564,0.897349894,76.5,0.926127851,0.125963226,0.161790684,0.800114393,0.179324552,0.92699796,0.708121538,2.069170475
Slovakia,2017,6.365509033,10.31411076,0.913386643,68.59999847,0.714224696,-0.066592969,0.920422673,0.788020432,0.21272248,0.34168008,0.908611059,0.606627345
Slovenia,2017,6.166837692,10.35458946,0.928187847,70.80000305,0.920862675,-0.027939947,0.828794718,0.615109682,0.285601437,0.239779726,0.949709475,0.896576881
Somalia,2017,Undefined,,,,,,,,,,,
